from_district,to_district,distance_km_estimated
BENGALURU (URBAN),CHIKBALLAPUR,53.67
BENGALURU (URBAN),CHIKKAMAGALURU,201.04
BENGALURU (URBAN),CHITRADURGA,190.14
BENGALURU (URBAN),DAKSHIN KANNAD,296.85
BENGALURU (URBAN),DAVANGERE,245.36
BENGALURU (URBAN),DHARWAD,392.72
BENGALURU (URBAN),GADAG,346.45
BENGALURU (URBAN),HASSAN,161.94
BENGALURU (URBAN),HAVERI,311.39
BENGALURU (URBAN),KALABURAGI,491.67
BENGALURU (URBAN),KODAGU,210.37
BENGALURU (URBAN),KOLAR,60.74
BENGALURU (URBAN),KOPPAL,306.68
BENGALURU (URBAN),MANDYA,90.87
BENGALURU (URBAN),MYSURU,128.02
BENGALURU (URBAN),RAICHUR,361.32
BENGALURU (URBAN),RAMANAGARA,44.26
BENGALURU (URBAN),SHIVAMOGGA,243.68
BENGALURU (URBAN),TUMAKURU,65.8
BENGALURU (URBAN),UDUPI,311.57
BENGALURU (URBAN),UTTAR KANNAD,425.84
BENGALURU (URBAN),VIJAYAPURA,474.43
BENGALURU (URBAN),YADGIR,424.74
BENGALURU (URBAN),VIJAYANAGAR,286.53
BIDAR,BAGALKOT,272.6
BIDAR,BALLARI,314.66
BIDAR,BELAGAVI,394.84
BIDAR,BENGALURU (RURAL),524.31
BIDAR,BENGALURU (URBAN),549.23
BIDAR,BIDAR,0.0
BIDAR,CHAMARAJNAGAR,668.77
BIDAR,CHIKBALLAPUR,498.1
BIDAR,CHIKKAMAGALURU,544.06
BIDAR,CHITRADURGA,426.95
BIDAR,DAKSHIN KANNAD,624.6
BIDAR,DAVANGERE,419.45
BIDAR,DHARWAD,381.95
BIDAR,GADAG,342.08
BIDAR,HASSAN,566.07
BIDAR,HAVERI,413.56
BIDAR,KALABURAGI,98.34
BIDAR,KODAGU,639.27
BIDAR,KOLAR,534.9
BIDAR,KOPPAL,319.65
BIDAR,MANDYA,602.92
BIDAR,MYSURU,631.42
BIDAR,RAICHUR,189.78
BIDAR,RAMANAGARA,578.19
BIDAR,SHIVAMOGGA,489.33
BIDAR,TUMAKURU,510.26
BIDAR,UDUPI,588.72
BIDAR,UTTAR KANNAD,500.39
BIDAR,VIJAYAPURA,226.53
BIDAR,YADGIR,133.57
BIDAR,VIJAYANAGAR,317.4
CHAMARAJNAGAR,BAGALKOT,492.46
CHAMARAJNAGAR,BALLARI,357.79
CHAMARAJNAGAR,BELAGAVI,510.31
CHAMARAJNAGAR,BENGALURU (RURAL),164.38
CHAMARAJNAGAR,BENGALURU (URBAN),136.48
CHAMARAJNAGAR,BIDAR,668.77
CHAMARAJNAGAR,CHAMARAJNAGAR,0.0
CHAMARAJNAGAR,CHIKBALLAPUR,188.79
CHAMARAJNAGAR,CHIKKAMAGALURU,200.47
CHAMARAJNAGAR,CHITRADURGA,262.84
CHAMARAJNAGAR,DAKSHIN KANNAD,252.09
CHAMARAJNAGAR,DAVANGERE,303.58
CHAMARAJNAGAR,DHARWAD,445.42
CHAMARAJNAGAR,GADAG,415.46
