from_district,to_district,distance_km_estimated
MYSURU,HASSAN,98.34
MYSURU,HAVERI,308.2
MYSURU,KALABURAGI,560.08
MYSURU,KODAGU,98.92
MYSURU,KOLAR,186.67
MYSURU,KOPPAL,343.66
MYSURU,MANDYA,37.45
MYSURU,MYSURU,0.0
MYSURU,RAICHUR,442.03
MYSURU,RAMANAGARA,83.93
MYSURU,SHIVAMOGGA,215.58
MYSURU,TUMAKURU,126.93
MYSURU,UDUPI,236.26
MYSURU,UTTAR KANNAD,388.92
MYSURU,VIJAYAPURA,514.02
MYSURU,YADGIR,499.93
MYSURU,VIJAYANAGAR,331.68
RAICHUR,BAGALKOT,175.57
RAICHUR,BALLARI,127.56
RAICHUR,BELAGAVI,306.83
RAICHUR,BENGALURU (RURAL),337.34
RAICHUR,BENGALURU (URBAN),361.32
RAICHUR,BIDAR,189.78
RAICHUR,CHAMARAJNAGAR,479.0
RAICHUR,CHIKBALLAPUR,311.53
RAICHUR,CHIKKAMAGALURU,363.66
RAICHUR,CHITRADURGA,243.13
RAICHUR,DAKSHIN KANNAD,454.03
RAICHUR,DAVANGERE,247.01
RAICHUR,DHARWAD,263.56
RAICHUR,GADAG,203.9
RAICHUR,HASSAN,380.68
RAICHUR,HAVERI,260.89
RAICHUR,KALABURAGI,136.22
RAICHUR,KODAGU,455.3
RAICHUR,KOLAR,352.33
RAICHUR,KOPPAL,159.26
RAICHUR,MANDYA,413.17
RAICHUR,MYSURU,442.03
RAICHUR,RAICHUR,0.0
RAICHUR,RAMANAGARA,388.83
RAICHUR,SHIVAMOGGA,317.4
RAICHUR,TUMAKURU,320.51
RAICHUR,UDUPI,424.45
RAICHUR,UTTAR KANNAD,378.51
RAICHUR,VIJAYAPURA,187.25
RAICHUR,YADGIR,65.37
RAICHUR,VIJAYANAGAR,146.29
RAMANAGARA,BAGALKOT,421.52
RAMANAGARA,BALLARI,272.3
RAMANAGARA,BELAGAVI,459.81
RAMANAGARA,BENGALURU (RURAL),70.72
RAMANAGARA,BENGALURU (URBAN),44.26
RAMANAGARA,BIDAR,578.19
RAMANAGARA,CHAMARAJNAGAR,95.63
RAMANAGARA,CHIKBALLAPUR,93.69
RAMANAGARA,CHIKKAMAGALURU,176.68
RAMANAGARA,CHITRADURGA,193.14
RAMANAGARA,DAKSHIN KANNAD,263.95
RAMANAGARA,DAVANGERE,243.76
RAMANAGARA,DHARWAD,391.39
RAMANAGARA,GADAG,351.02
RAMANAGARA,HASSAN,132.11
RAMANAGARA,HAVERI,307.45
RAMANAGARA,KALABURAGI,515.44
RAMANAGARA,KODAGU,170.64
RAMANAGARA,KOLAR,103.05
RAMANAGARA,KOPPAL,317.19
RAMANAGARA,MANDYA,47.19
RAMANAGARA,MYSURU,83.93
RAMANAGARA,RAICHUR,388.83
RAMANAGARA,RAMANAGARA,0.0
RAMANAGARA,SHIVAMOGGA,229.38
RAMANAGARA,TUMAKURU,71.45
RAMANAGARA,UDUPI,283.79
RAMANAGARA,UTTAR KANNAD,411.99
RAMANAGARA,VIJAYAPURA,487.72
RAMANAGARA,YADGIR,450.62
RAMANAGARA,VIJAYANAGAR,299.73
SHIVAMOGGA,BAGALKOT,250.97
SHIVAMOGGA,BALLARI,198.25
SHIVAMOGGA,BELAGAVI,242.49
SHIVAMOGGA,BENGALURU (RURAL),245.04
SHIVAMOGGA,BENGALURU (URBAN),243.68
SHIVAMOGGA,BIDAR,489.33
SHIVAMOGGA,CHAMARAJNAGAR,268.46
SHIVAMOGGA,CHIKBALLAPUR,240.11
SHIVAMOGGA,CHIKKAMAGALURU,71.72
SHIVAMOGGA,CHITRADURGA,95.34
SHIVAMOGGA,DAKSHIN KANNAD,136.71
SHIVAMOGGA,DAVANGERE,70.61
SHIVAMOGGA,DHARWAD,180.38
SHIVAMOGGA,GADAG,166.9
SHIVAMOGGA,HASSAN,117.68
SHIVAMOGGA,HAVERI,97.68
SHIVAMOGGA,KALABURAGI,401.1
SHIVAMOGGA,KODAGU,168.42
SHIVAMOGGA,KOLAR,290.63
SHIVAMOGGA,KOPPAL,170.1
SHIVAMOGGA,MANDYA,212.48
SHIVAMOGGA,MYSURU,215.58
SHIVAMOGGA,RAICHUR,317.4
SHIVAMOGGA,RAMANAGARA,229.38
SHIVAMOGGA,SHIVAMOGGA,0.0
SHIVAMOGGA,TUMAKURU,179.89
SHIVAMOGGA,UDUPI,110.71
SHIVAMOGGA,UTTAR KANNAD,182.83
SHIVAMOGGA,VIJAYAPURA,322.86
SHIVAMOGGA,YADGIR,357.45
SHIVAMOGGA,VIJAYANAGAR,173.22
TUMAKURU,BAGALKOT,351.17
TUMAKURU,BALLARI,201.43
TUMAKURU,BELAGAVI,396.8
TUMAKURU,BENGALURU (RURAL),65.63
TUMAKURU,BENGALURU (URBAN),65.8
TUMAKURU,BIDAR,510.26
TUMAKURU,CHAMARAJNAGAR,158.59
TUMAKURU,CHIKBALLAPUR,67.32
TUMAKURU,CHIKKAMAGALURU,145.58
TUMAKURU,CHITRADURGA,125.56
TUMAKURU,DAKSHIN KANNAD,249.37
TUMAKURU,DAVANGERE,179.84
TUMAKURU,DHARWAD,327.47
TUMAKURU,GADAG,283.06
TUMAKURU,HASSAN,116.09
TUMAKURU,HAVERI,245.67
TUMAKURU,KALABURAGI,445.01
TUMAKURU,KODAGU,180.74
TUMAKURU,KOLAR,111.83
TUMAKURU,KOPPAL,246.63
TUMAKURU,MANDYA,93.89
TUMAKURU,MYSURU,126.93
TUMAKURU,RAICHUR,320.51
TUMAKURU,RAMANAGARA,71.45
TUMAKURU,SHIVAMOGGA,179.89
TUMAKURU,TUMAKURU,0.0
TUMAKURU,UDUPI,256.98
TUMAKURU,UTTAR KANNAD,361.07
TUMAKURU,VIJAYAPURA,416.67
TUMAKURU,YADGIR,381.17
TUMAKURU,VIJAYANAGAR,228.54
UDUPI,BAGALKOT,332.42
UDUPI,BALLARI,308.48
UDUPI,BELAGAVI,280.2
UDUPI,BENGALURU (RURAL),321.22
UDUPI,BENGALURU (URBAN),311.57
UDUPI,BIDAR,588.72
UDUPI,CHAMARAJNAGAR,286.25
UDUPI,CHIKBALLAPUR,323.54
UDUPI,CHIKKAMAGALURU,111.47
UDUPI,CHITRADURGA,204.07
UDUPI,DAKSHIN KANNAD,49.03
UDUPI,DAVANGERE,178.38
UDUPI,DHARWAD,237.24
UDUPI,GADAG,250.8
UDUPI,HASSAN,151.68
UDUPI,HAVERI,176.64
UDUPI,KALABURAGI,496.34
UDUPI,KODAGU,148.48
UDUPI,KOLAR,367.35
UDUPI,KOPPAL,270.35
UDUPI,MANDYA,250.47
UDUPI,MYSURU,236.26
UDUPI,RAICHUR,424.45
UDUPI,RAMANAGARA,283.79
UDUPI,SHIVAMOGGA,110.71
UDUPI,TUMAKURU,256.98
UDUPI,UDUPI,0.0
UDUPI,UTTAR KANNAD,175.34
UDUPI,VIJAYAPURA,401.66
UDUPI,YADGIR,459.57
UDUPI,VIJAYANAGAR,278.42
UTTAR KANNAD,BAGALKOT,227.94
UTTAR KANNAD,BALLARI,302.33
UTTAR KANNAD,BELAGAVI,123.11
UTTAR KANNAD,BENGALURU (RURAL),425.15
UTTAR KANNAD,BENGALURU (URBAN),425.84
UTTAR KANNAD,BIDAR,500.39
UTTAR KANNAD,CHAMARAJNAGAR,441.82
UTTAR KANNAD,CHIKBALLAPUR,417.12
UTTAR KANNAD,CHIKKAMAGALURU,242.25
UTTAR KANNAD,CHITRADURGA,252.53
UTTAR KANNAD,DAKSHIN KANNAD,224.05
UTTAR KANNAD,DAVANGERE,196.51
UTTAR KANNAD,DHARWAD,119.37
UTTAR KANNAD,GADAG,174.68
UTTAR KANNAD,HASSAN,291.72
UTTAR KANNAD,HAVERI,137.11
UTTAR KANNAD,KALABURAGI,402.14
UTTAR KANNAD,KODAGU,316.4
UTTAR KANNAD,KOLAR,469.71
UTTAR KANNAD,KOPPAL,225.94
UTTAR KANNAD,MANDYA,391.88
UTTAR KANNAD,MYSURU,388.92
UTTAR KANNAD,RAICHUR,378.51
UTTAR KANNAD,RAMANAGARA,411.99
UTTAR KANNAD,SHIVAMOGGA,182.83
UTTAR KANNAD,TUMAKURU,361.07
UTTAR KANNAD,UDUPI,175.34
UTTAR KANNAD,UTTAR KANNAD,0.0
UTTAR KANNAD,VIJAYAPURA,281.98
UTTAR KANNAD,YADGIR,389.09
UTTAR KANNAD,VIJAYANAGAR,248.42
VIJAYAPURA,BAGALKOT,71.94
VIJAYAPURA,BALLARI,228.29
VIJAYAPURA,BELAGAVI,169.17
VIJAYAPURA,BENGALURU (RURAL),457.2
VIJAYAPURA,BENGALURU (URBAN),474.43
VIJAYAPURA,BIDAR,226.53
VIJAYAPURA,CHAMARAJNAGAR,561.71
VIJAYAPURA,CHIKBALLAPUR,435.38
VIJAYAPURA,CHIKKAMAGALURU,390.81
VIJAYAPURA,CHITRADURGA,298.9
VIJAYAPURA,DAKSHIN KANNAD,445.01
VIJAYAPURA,DAVANGERE,264.04
VIJAYAPURA,DHARWAD,169.93
VIJAYAPURA,GADAG,155.99
VIJAYAPURA,HASSAN,427.21
VIJAYAPURA,HAVERI,228.78
VIJAYAPURA,KALABURAGI,130.4
VIJAYAPURA,KODAGU,489.92
VIJAYAPURA,KOLAR,486.06
VIJAYAPURA,KOPPAL,171.27
VIJAYAPURA,MANDYA,495.73
VIJAYAPURA,MYSURU,514.02
VIJAYAPURA,RAICHUR,187.25
VIJAYAPURA,RAMANAGARA,487.72
VIJAYAPURA,SHIVAMOGGA,322.86
VIJAYAPURA,TUMAKURU,416.67
VIJAYAPURA,UDUPI,401.66
VIJAYAPURA,UTTAR KANNAD,281.98
VIJAYAPURA,VIJAYAPURA,0.0
VIJAYAPURA,YADGIR,152.19
VIJAYAPURA,VIJAYANAGAR,188.24
YADGIR,BAGALKOT,166.46
YADGIR,BALLARI,182.33
YADGIR,BELAGAVI,299.63
YADGIR,BENGALURU (RURAL),401.33
YADGIR,BENGALURU (URBAN),424.74
YADGIR,BIDAR,133.57
YADGIR,CHAMARAJNAGAR,539.04
YADGIR,CHIKBALLAPUR,375.75
YADGIR,CHIKKAMAGALURU,410.67
YADGIR,CHITRADURGA,293.43
YADGIR,DAKSHIN KANNAD,493.53
YADGIR,DAVANGERE,287.14
YADGIR,DHARWAD,270.01
YADGIR,GADAG,219.92
YADGIR,HASSAN,432.6
YADGIR,HAVERI,287.23
YADGIR,KALABURAGI,71.24
YADGIR,KODAGU,505.7
YADGIR,KOLAR,417.43
YADGIR,KOPPAL,189.23
YADGIR,MANDYA,472.63
YADGIR,MYSURU,499.93
YADGIR,RAICHUR,65.37
YADGIR,RAMANAGARA,450.62
YADGIR,SHIVAMOGGA,357.45
YADGIR,TUMAKURU,381.17
YADGIR,UDUPI,459.57
YADGIR,UTTAR KANNAD,389.09
YADGIR,VIJAYAPURA,152.19
YADGIR,YADGIR,0.0
YADGIR,VIJAYANAGAR,184.61
VIJAYANAGAR,BAGALKOT,125.72
VIJAYANAGAR,BALLARI,58.72
VIJAYANAGAR,BELAGAVI,212.83
VIJAYANAGAR,BENGALURU (RURAL),270.37
VIJAYANAGAR,BENGALURU (URBAN),286.53
VIJAYANAGAR,BIDAR,317.4
VIJAYANAGAR,CHAMARAJNAGAR,376.94
VIJAYANAGAR,CHIKBALLAPUR,249.83
VIJAYANAGAR,CHIKKAMAGALURU,227.15
VIJAYANAGAR,CHITRADURGA,116.07
VIJAYANAGAR,DAKSHIN KANNAD,309.77
VIJAYANAGAR,DAVANGERE,102.68
VIJAYANAGAR,DHARWAD,149.79
VIJAYANAGAR,GADAG,84.58
VIJAYANAGAR,HASSAN,253.48
VIJAYANAGAR,HAVERI,118.41
VIJAYANAGAR,KALABURAGI,233.68
VIJAYANAGAR,KODAGU,324.06
VIJAYANAGAR,KOLAR,302.27
VIJAYANAGAR,KOPPAL,26.88
VIJAYANAGAR,MANDYA,310.27
VIJAYANAGAR,MYSURU,331.68
VIJAYANAGAR,RAICHUR,146.29
VIJAYANAGAR,RAMANAGARA,299.73
VIJAYANAGAR,SHIVAMOGGA,173.22
VIJAYANAGAR,TUMAKURU,228.54
VIJAYANAGAR,UDUPI,278.42
VIJAYANAGAR,UTTAR KANNAD,248.42
VIJAYANAGAR,VIJAYAPURA,188.24
VIJAYANAGAR,YADGIR,184.61
VIJAYANAGAR,VIJAYANAGAR,0.0
